# step, acceptance, delta_H
180, 0.334597, 0.640884
180, 0.640884, 0.334597
181, -0.626034, 0.642857
181, 0.642857, -0.626034
182, 0.298798, 0.644809
182, 0.644809, 0.298798
183, 1.40207, 0.641304
183, 0.641304, 1.40207
184, 0.380293, 0.637838
184, 0.637838, 0.380293
185, 1.19825, 0.639785
185, 0.639785, 1.19825
186, 0.153547, 0.641711
186, 0.641711, 0.153547
187, -0.631508, 0.643617
187, 0.643617, -0.631508
188, 1.39273, 0.640212
188, 0.640212, 1.39273
189, 2.06258, 0.636842
189, 0.636842, 2.06258
190, -2.13017, 0.638743
190, 0.638743, -2.13017
191, 0.0448852, 0.640625
191, 0.640625, 0.0448852
192, -0.282745, 0.642487
192, 0.642487, -0.282745
193, 0.12106, 0.64433
193, 0.64433, 0.12106
194, 0.686062, 0.641026
194, 0.641026, 0.686062
195, 0.604668, 0.642857
195, 0.642857, 0.604668
196, 0.952756, 0.64467
196, 0.64467, 0.952756
197, -1.16433, 0.646465
197, 0.646465, -1.16433
198, 0.398152, 0.648241
198, 0.648241, 0.398152
199, 0.364915, 0.65
199, 0.65, 0.364915
200, 0.288842, 0.651741
200, 0.651741, 0.288842
201, 0.48647, 0.648515
201, 0.648515, 0.48647
202, -0.568604, 0.650246
202, 0.650246, -0.568604
203, -0.703244, 0.651961
203, 0.651961, -0.703244
204, -1.00505, 0.653659
204, 0.653659, -1.00505
205, 0.18339, 0.65534
205, 0.65534, 0.18339
206, 1.27997, 0.652174
206, 0.652174, 1.27997
207, 1.08457, 0.649038
207, 0.649038, 1.08457
208, 1.93429, 0.645933
208, 0.645933, 1.93429
209, 1.96821, 0.642857
209, 0.642857, 1.96821
210, 0.675998, 0.64455
210, 0.64455, 0.675998
211, 0.742974, 0.646226
211, 0.646226, 0.742974
212, -0.211189, 0.647887
212, 0.647887, -0.211189
213, 0.450419, 0.649533
213, 0.649533, 0.450419
214, -0.449347, 0.651163
214, 0.651163, -0.449347
215, 0.134663, 0.652778
215, 0.652778, 0.134663
216, -0.534142, 0.654378
216, 0.654378, -0.534142
217, 0.81226, 0.655963
217, 0.655963, 0.81226
218, 1.52709, 0.652968
218, 0.652968, 1.52709
219, -1.1827, 0.654545
219, 0.654545, -1.1827
220, -0.425055, 0.656109
220, 0.656109, -0.425055
221, 0.630129, 0.653153
221, 0.653153, 0.630129
222, 0.404362, 0.654709
222, 0.654709, 0.404362
223, 2.42577, 0.651786
223, 0.651786, 2.42577
224, 1.67038, 0.648889
224, 0.648889, 1.67038
225, -0.02913, 0.650442
225, 0.650442, -0.02913
226, 1.0653, 0.647577
226, 0.647577, 1.0653
227, 0.616923, 0.649123
227, 0.649123, 0.616923
228, -0.0980959, 0.650655
228, 0.650655, -0.0980959
229, -0.209651, 0.652174
229, 0.652174, -0.209651
230, 1.70576, 0.649351
230, 0.649351, 1.70576
231, 1.82121, 0.646552
231, 0.646552, 1.82121
232, 1.43725, 0.643777
232, 0.643777, 1.43725
233, 2.41853, 0.641026
233, 0.641026, 2.41853
234, 1.17533, 0.642553
234, 0.642553, 1.17533
235, -0.429754, 0.644068
235, 0.644068, -0.429754
236, -0.571192, 0.64557
236, 0.64557, -0.571192
237, 1.25988, 0.642857
237, 0.642857, 1.25988
238, 0.603442, 0.644351
238, 0.644351, 0.603442
239, 0.423044, 0.645833
239, 0.645833, 0.423044
240, 0.823971, 0.647303
240, 0.647303, 0.823971
241, 0.0596932, 0.64876
241, 0.64876, 0.0596932
242, 0.57973, 0.650206
242, 0.650206, 0.57973
243, 1.68119, 0.647541
243, 0.647541, 1.68119
244, -1.4464, 0.64898
244, 0.64898, -1.4464
245, 2.74583, 0.646341
245, 0.646341, 2.74583
246, 3.25606, 0.643725
246, 0.643725, 3.25606
247, 1.87569, 0.641129
247, 0.641129, 1.87569
248, 1.73718, 0.638554
248, 0.638554, 1.73718
249, 1.01733, 0.64
249, 0.64, 1.01733
250, 0.219383, 0.641434
250, 0.641434, 0.219383
251, 1.69833, 0.638889
251, 0.638889, 1.69833
252, -0.155318, 0.640316
252, 0.640316, -0.155318
253, 2.57888, 0.641732
253, 0.641732, 2.57888
254, -1.23768, 0.643137
254, 0.643137, -1.23768
255, 0.915143, 0.640625
